E47,0.086784,0.520100,0.024845,0.000000,0.000000,0.000000,0.516759,0.130581,0.925245,0.733704,1.000000,1.000000,0.417372,0.876975,3.584712
L731,0.169736,0.609899,0.000000,0.000000,0.000000,0.000000,0.065607,0.014980,0.934610,1.000000,1.000000,1.000000,0.297147,0.928926,3.186883
C349,0.000000,0.484275,0.000000,0.000000,0.000000,0.000000,0.074626,0.012781,0.949332,0.662264,1.000000,1.000000,0.304665,0.932996,3.180278
L73,0.000000,0.553658,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.949332,1.000000,1.000000,1.000000,0.287250,0.947684,3.307577
L74,0.177138,0.540597,0.016904,0.000000,0.000000,0.000000,0.041622,0.008853,0.914504,0.998274,1.000000,1.000000,0.296770,0.943757,3.216392
M781,0.000000,0.553658,0.000000,0.000000,0.000000,0.000000,0.019947,0.008102,0.949332,1.000000,1.000000,1.000000,0.295101,0.942237,3.329330
R893,0.000000,0.494907,0.000000,0.000000,0.000000,0.000000,0.030298,0.004325,0.949332,1.000000,1.000000,1.000000,0.294185,0.933587,3.369158
C39,0.000000,0.404512,0.000000,0.000000,0.000000,0.000000,0.409264,0.041237,0.949332,0.802666,0.799519,1.000000,0.269566,0.835571,3.359030
C35,0.000000,0.476900,0.000000,0.000000,0.000000,0.000000,0.381690,0.051267,0.937278,0.898468,1.000000,1.000000,0.468956,0.924351,3.703650
C34,0.000000,0.463664,0.000000,0.000000,0.000000,0.000000,0.116685,0.017580,0.943679,0.000000,1.000000,1.000000,0.321690,0.925823,2.758424
C37,0.000000,0.553658,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.949332,1.000000,1.000000,1.000000,0.287250,0.947684,3.307577
C36,0.000000,0.553658,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.949332,1.000000,1.000000,1.000000,0.287250,0.947684,3.307577
C31,0.000000,0.553658,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.949332,1.000000,1.000000,1.000000,0.287250,0.947684,3.307577
C30,0.096749,0.550091,0.000000,0.000000,0.000000,0.000000,0.131477,0.017115,0.945976,0.819051,0.980850,1.000000,0.319271,0.928158,3.210756
C33,0.000000,0.445190,0.000000,0.000000,0.000000,0.000000,0.323637,0.028434,0.949332,0.942596,1.000000,1.000000,0.453031,0.912538,3.688841
C32,0.000000,0.484961,0.000000,0.000000,0.000000,0.000000,0.348556,0.050538,0.938544,0.709208,1.000000,1.000000,0.317435,0.841271,3.371850
C153,0.000000,0.226711,0.000000,0.000000,0.000000,0.000000,0.146495,0.013108,0.932215,0.956755,1.000000,0.000000,0.342757,0.924319,2.920670
M767,0.281826,0.584761,0.032272,0.000000,0.000000,0.000000,0.019952,0.005690,0.945417,0.990115,1.000000,1.000000,0.291464,0.944276,3.116142
C403,0.000000,0.553658,0.000000,0.000000,0.000000,0.000000,0.098092,0.068410,0.949332,0.891621,0.449463,1.000000,0.256702,1.000000,2.971402
C405,0.000000,0.514790,0.000000,0.000000,0.000000,0.000000,0.199013,0.031544,0.937125,0.609268,1.000000,1.000000,0.303188,0.888235,3.181132
C404,0.000000,0.487273,0.000000,0.000000,0.000000,0.000000,0.124713,0.023839,0.928480,0.683838,1.000000,1.000000,0.300855,0.898178,3.194736
C407,0.000000,0.458182,0.000000,0.000000,0.000000,0.000000,0.284874,0.027086,0.949332,0.848419,1.000000,1.000000,0.386907,0.848509,3.490674
C406,0.000000,0.476150,0.000000,0.000000,0.000000,0.000000,0.216972,0.026440,0.949332,0.419026,1.000000,1.000000,0.390542,0.919071,3.175166
C311,0.209889,0.600017,0.000000,0.000000,0.000000,0.000000,0.177627,0.049743,0.920206,0.766924,1.000000,1.000000,0.331323,0.925852,3.115549
C313,0.065283,0.467114,0.000000,0.000000,0.000000,0.000000,0.081146,0.012831,0.948200,0.931317,1.000000,1.000000,0.315788,0.937043,3.352805
C312,0.000000,0.490535,0.000000,0.000000,0.000000,0.000000,0.142864,0.038395,0.933913,0.933203,1.000000,1.000000,0.332264,0.929464,3.442549
C315,0.000000,0.458447,0.000000,0.000000,0.000000,0.000000,0.092352,0.021824,0.949332,0.899231,1.000000,1.000000,0.268704,0.946276,3.370909
C314,0.000000,0.423954,0.000000,0.000000,0.000000,0.000000,0.263432,0.032867,0.943513,0.794119,1.000000,1.000000,0.369554,0.909182,3.491937
C316,0.000000,0.465578,0.000000,0.000000,0.000000,0.000000,0.120042,0.020506,0.949332,0.953393,1.000000,1.000000,0.333401,0.948395,3.471065
C391,0.246763,0.635420,0.000000,0.000000,0.000000,0.000000,0.425696,0.026671,0.940771,1.000000,0.926731,1.000000,0.477758,0.909356,3.446286
C393,0.167506,0.535141,0.000000,0.000000,0.000000,0.000000,0.167656,0.030994,0.949332,0.911885,1.000000,1.000000,0.313797,0.898678,3.264068
C392,0.000000,0.528817,0.000000,0.000000,0.000000,0.000000,0.151286,0.024486,0.944131,0.956189,1.000000,1.000000,0.334789,0.930912,3.437840
C395,0.000000,0.531965,0.000000,0.000000,0.000000,0.000000,0.238120,0.022513,0.949332,0.690117,0.825097,1.000000,0.300728,0.889584,3.131090
