A01,0,0,0,0,9,31,0,12642
A03,0,0,0,0,178,467,6,129590
A04,0,0,0,0,0,0,0,0
A02,0,0,0,0,3,6,0,992
A05,0,0,0,0,5,53,0,7794
B06,0,0,0,0,435,3165,0,17263
B07,0,0,0,0,0,55,0,1532
B08,0,0,0,0,231,925,1,13207
B09,0,0,0,0,0,0,0,0
B11,0,0,0,0,22,30,0,2333
C13,0,0,0,0,722,2776,4,75006
C14,0,0,0,0,37,127,0,2064
B10,0,0,0,0,52,133,1,2638
C15,0,0,0,0,70,206,0,11927
C16,0,0,0,0,1,21,0,423
C17,0,0,0,0,8,45,0,1226
C18,1,0,0,0,1323,5575,1,118666
C19,0,0,0,0,45,258,0,3565
C20,0,0,0,0,161,433,1,9364
C21,0,0,0,0,513,2370,0,51171
C22,0,0,0,0,14,82,0,1057
C24,0,0,0,0,281,456,1,9325
C26,0,0,0,0,0,0,0,0
C23,0,0,0,0,21,90,0,6562
C25,0,0,0,0,57,463,0,2069
C27,0,0,0,0,264,1186,1,20672
C28,0,0,0,0,0,0,0,0
C31,0,0,0,0,0,0,0,0
C29,0,0,0,0,217,827,0,24859
C30,0,0,0,0,895,3789,4,113455
C32,0,0,0,0,609,3046,0,23534
C33,0,0,0,0,56,278,1,3726
C34,0,0,0,0,151,773,1,22455
C35,0,0,0,0,213,997,0,10531
C36,0,0,0,0,0,0,0,0
C37,0,0,0,0,0,0,0,0
C39,0,0,0,0,201,566,1,5420
C40,0,0,0,0,83,424,1,11602
C41,0,0,0,0,33,120,0,5280
C42,0,0,0,0,141,438,1,24146
C43,0,0,0,0,90,327,0,12290
D44,0,0,0,0,67,577,2,9552
D45,0,0,0,0,16,209,0,6015
D46,0,0,0,0,44,325,1,19494
E47,0,0,0,0,3163,19360,3,84322
E48,0,0,0,0,487,2698,1,76995
E49,0,0,0,0,531,2384,6,126832
E50,0,0,0,0,388,1619,3,57144
F51,0,0,0,0,4,25,0,1143
F53,0,0,0,0,87,2131,0,9826
F54,0,0,0,0,0,0,0,0
F52,0,0,0,0,1243,7303,6,110246
F55,0,0,0,0,0,7,0,384
F56,0,0,0,0,0,16,0,253
F57,0,0,0,0,361,1311,2,66526
F58,0,0,0,0,19,86,3,7052
F59,0,0,0,0,23,297,0,11840
F60,5,0,0,0,37,309,1,26650
H63,1,0,0,0,225,643,1,67352
H65,0,0,0,0,0,0,0,0
I66,2,0,0,0,507,2143,3,70356
I67,10,0,0,0,677,3169,4,130305
J68,0,0,0,0,19,3454,0,15840
J69,0,0,0,0,21,113,0,6227
J70,0,0,0,0,162,29447,2,15247
J71,0,0,0,0,1214,4785,1,36045
K72,4,0,0,0,7563,58701,12,362369
L73,0,0,0,0,0,0,0,0
L74,3,0,0,0,823,3495,6,247862
F61,0,0,0,0,384,525,2,132723
F62,0,0,0,0,47,157,0,15623
M75,0,0,0,0,139,417,2,42953
M76,4,0,0,0,97,482,1,85624
M77,1,0,0,0,275,676,2,119818
M78,0,0,0,0,3,11,1,2902
N79,0,0,0,0,1,127,0,11861
N80,0,0,0,0,0,0,0,0
N81,0,0,0,0,66,309,1,25177
O82,0,0,0,0,108,845,2,90757
O83,0,0,0,0,103,420,4,46642
P84,0,0,0,0,57,258,0,212870
Q85,0,0,0,0,37,110,0,159233
Q86,0,0,0,0,1,58,0,12888
Q87,0,0,0,0,1,8,0,7308
R88,0,0,0,0,1,3,0,1271
R89,0,0,0,0,13,49,0,10844
R91,0,0,0,0,12,33,0,10176
R92,3,0,0,0,219,1180,2,34560
S93,0,0,0,0,1,3,0,14533
S94,0,0,0,0,1,20,0,3051
S95,0,0,0,0,0,1,0,2164
S96,0,0,0,0,0,3,0,24005
R90,0,0,0,0,58,204,0,45779
S97,0,0,0,0,56,883,0,310386
T98,0,0,0,0,0,0,0,15
R903,0,0,0,0,1,0,0,5440
S961,0,0,0,0,0,1,0,12523
S962,0,0,0,0,6,7,0,77665
S942,0,0,0,0,60,2313,0,117684
S943,0,0,0,0,0,0,0,2270
R893,0,0,0,0,15,117,0,6879
R882,3,0,0,0,24,130,0,6285
Q871,0,0,0,0,4,19,0,22246
Q851,3,0,0,0,88,1386,1,26429
P843,0,0,0,0,105,432,0,75804
P844,0,0,0,0,19,114,0,5957
P849,0,0,0,0,86,441,1,82134
O831,1,0,0,0,106,356,1,45048
O832,0,0,0,0,37,178,1,20799
N813,0,0,0,0,66,185,0,11742
N801,0,0,0,0,7,16,0,3094
N802,0,0,0,0,48,164,0,15105
N792,0,0,0,0,9,52,0,11449
M781,0,0,0,0,4,53,0,2239
M767,0,0,0,0,84,721,5,64911
F621,0,0,0,0,122,762,5,55998
L741,0,0,0,0,1053,6498,5,187405
L742,0,0,0,0,7,35,1,26952
L743,0,0,0,0,542,1412,9,200610
L749,1,0,0,0,363,1971,6,115448
L731,0,0,0,0,186,993,2,43112
L732,0,0,0,0,5,14,0,1453
H651,11,0,0,0,378,4361,8,127989
H652,0,0,0,0,186,825,3,84719
H653,2,0,0,0,192,911,2,99772
H654,3,0,0,0,85,395,3,55430
H655,0,0,0,0,73,327,2,93672
H656,2,0,0,0,784,2928,8,141861
H657,2,0,0,0,242,1004,6,153901
H658,0,0,0,0,274,1248,6,129275
H659,5,0,0,0,331,1195,4,134993
H631,0,0,0,0,250,900,1,73018
H632,1,0,0,0,429,1764,4,134064
H633,3,0,0,0,675,2789,9,191518
H634,0,0,0,0,145,593,3,48873
H635,0,0,0,0,140,641,2,44543
H636,1,0,0,0,3495,10286,9,532278
H637,2,0,0,0,1387,4865,10,441256
H639,0,0,0,0,507,1487,4,164611
F601,0,0,0,0,18,488,0,12525
F603,0,0,0,0,8,40,0,5962
F551,0,0,0,0,2,43,0,598
F553,0,0,0,0,1,8,0,627
F523,0,0,0,0,37,396,0,15951
F541,0,0,0,0,13,40,0,1257
F542,0,0,0,0,105,1044,0,6570
F543,0,0,0,0,51,235,0,3278
F513,0,0,0,0,2,11,0,1223
E472,0,0,0,0,659,4785,2,59585
D441,0,0,0,0,212,721,5,39724
C421,0,0,0,0,564,1114,1,46306
C422,0,0,0,0,90,347,0,11481
C411,0,0,0,0,94,1022,1,17023
C412,0,0,0,0,36,130,0,5769
C414,0,0,0,0,53,253,0,5290
C415,0,0,0,0,19,141,0,2207
C401,0,0,0,0,87,363,0,7797
C403,0,0,0,0,29,230,0,1973
C404,0,0,0,0,44,318,0,6088
C405,0,0,0,0,183,976,0,10398
C406,0,0,0,0,274,1945,2,31288
C407,0,0,0,0,50,253,0,4233
C391,0,0,0,0,324,962,0,14827
C392,0,0,0,0,505,1995,0,48809
C393,0,0,0,0,279,1558,0,21843
C395,0,0,0,0,361,1567,0,18631
C396,0,0,0,0,93,379,0,6099
C397,0,0,0,0,359,1611,0,21426
C399,0,0,0,0,61,232,0,9581
C371,0,0,0,0,85,240,0,3790
C372,0,0,0,0,1144,4725,2,79267
C373,0,0,0,0,137,856,0,8949
C374,0,0,0,0,123,343,0,6898
C375,0,0,0,0,253,783,0,13846
C376,0,0,0,0,5,26,0,577
C379,0,0,0,0,17,83,0,2825
C361,0,0,0,0,277,1567,1,24491
C362,0,0,0,0,288,1317,1,40249
C363,0,0,0,0,21,123,1,4833
C364,0,0,0,0,141,517,0,9187
C365,0,0,0,0,80,384,0,11441
C366,0,0,0,0,79,323,0,11670
C367,0,0,0,0,86,382,1,11067
C368,1,0,0,0,46,156,0,7830
C369,0,0,0,0,271,1065,0,26449
C351,0,0,0,0,137,745,1,10206
C352,0,0,0,0,313,1537,1,38541
C354,0,0,0,0,246,1301,0,33882
C355,0,0,0,0,191,1097,2,16686
C357,0,0,0,0,414,1455,0,37446
C358,0,0,0,0,404,1948,0,79340
C359,0,0,0,0,399,1936,0,34230
C341,0,0,0,0,710,3567,0,65753
C342,1,0,0,0,236,708,0,26497
C343,0,0,0,0,90,349,1,7025
C345,1,0,0,0,259,914,0,24508
C347,0,0,0,0,56,72,0,1671
C348,0,0,0,0,172,683,1,19659
C349,0,0,0,0,212,876,1,29126
C331,0,0,0,0,172,667,0,8147
C332,0,0,0,0,10,40,0,1043
C333,0,0,0,0,13,98,0,1674
C335,0,0,0,0,267,1292,2,15153
C308,0,0,0,0,124,711,0,16810
C291,0,0,0,0,89,452,0,2558
C311,0,0,0,0,262,1460,0,17432
C312,0,0,0,0,573,3756,2,57626
C313,0,0,0,0,571,2931,1,112094
C314,0,0,0,0,473,1636,1,21814
C315,0,0,0,0,199,525,1,12735
C316,0,0,0,0,111,440,0,13766
C319,0,0,0,0,136,544,1,17420
C281,0,0,0,0,14,81,0,1227
C282,0,0,0,0,141,841,0,5143
